"x","y","year"
144.001249452037,-38.236249643213,"1990"
144.001249452037,-38.2345829765531,"2010"
144.001249452037,-37.4912496462114,"2010"
144.001249452037,-37.4862496462315,"2025"
144.001249452037,-37.3962496465937,"1995"
144.001249452037,-37.344582980135,"2020"
144.002916118697,-38.236249643213,"2020"
144.002916118697,-38.2345829765531,"1990"
144.002916118697,-37.5562496459498,"2025"
144.002916118697,-37.344582980135,"1990"
144.004582785357,-38.2345829765531,"1995"
144.004582785357,-37.9479163110401,"2020"
144.004582785357,-37.5579163126097,"1985"
144.004582785357,-37.5312496460504,"2020"
144.004582785357,-37.344582980135,"2015"
144.006249452017,-38.1512496435551,"2025"
144.006249452017,-38.1262496436558,"1985"
144.006249452017,-38.1229163103358,"2000"
144.006249452017,-37.5579163126097,"2010"
144.006249452017,-37.5562496459498,"2020"
144.006249452017,-37.5195829794307,"1995"
144.006249452017,-37.4345829797728,"2010"
144.006249452017,-37.3629163133945,"2030"
144.007916118677,-38.239582976533,"2000"
144.007916118677,-38.237916309873,"2000"
144.007916118677,-38.1229163103358,"2000"
144.007916118677,-38.0962496437765,"2005"
144.007916118677,-37.6845829787666,"2025"
144.007916118677,-37.6779163121268,"2030"
144.007916118677,-37.3462496467949,"2020"
144.007916118677,-37.344582980135,"2030"
144.009582785337,-37.9579163109999,"2025"
144.009582785337,-37.6779163121268,"2030"
144.009582785337,-37.5695829792294,"2025"
144.009582785337,-37.5562496459498,"2020"
144.011249451997,-38.3145829762311,"2025"
144.011249451997,-38.237916309873,"2020"
144.011249451997,-38.2195829766135,"2005"
144.011249451997,-37.9579163109999,"2020"
144.011249451997,-37.7312496452455,"2020"
144.011249451997,-37.6779163121268,"2030"
144.011249451997,-37.629582978988,"2025"
144.011249451997,-37.5695829792294,"2015"
144.012916118657,-38.114582977036,"2000"
144.012916118657,-37.9595829776599,"2025"
144.012916118657,-37.9579163109999,"2030"
144.012916118657,-37.95458297768,"2030"
144.012916118657,-37.7312496452455,"2020"
144.012916118657,-37.6762496454668,"2020"
144.012916118657,-37.5712496458894,"2000"
144.014582785317,-37.9912496441991,"2025"
144.014582785317,-37.6795829787867,"2000"
144.014582785317,-37.6779163121268,"1990"
144.014582785317,-37.5729163125494,"2020"
144.014582785317,-37.3629163133945,"2025"
144.017916118637,-38.2695829764122,"2030"
144.017916118637,-37.6812496454467,"2025"
144.017916118637,-37.6745829788069,"2030"
144.019582785298,-38.2712496430722,"2010"
144.021249451958,-38.0279163107182,"2020"
144.022916118618,-38.114582977036,"2025"
144.022916118618,-38.0279163107182,"2020"
144.022916118618,-38.0245829773983,"2020"
144.022916118618,-38.0179163107584,"2020"
144.022916118618,-37.8679163113621,"2025"
144.022916118618,-37.6812496454467,"2030"
144.022916118618,-37.5679163125695,"2015"
144.024582785278,-38.0245829773983,"2020"
144.024582785278,-38.0229163107383,"2020"
144.024582785278,-38.0195829774184,"2015"
144.024582785278,-38.0179163107584,"2015"
144.024582785278,-38.0145829774385,"2010"
144.024582785278,-37.2445829805374,"1990"
144.026249451938,-38.0329163106981,"2020"
144.026249451938,-38.0312496440381,"2020"
144.026249451938,-38.0262496440582,"2020"
144.026249451938,-38.0245829773983,"2020"
144.026249451938,-38.0229163107383,"2015"
144.026249451938,-38.0195829774184,"2015"
