"suburb","pop_1975","pop_2025","nominal_growth","pct_growth","region_type"
"Hawthorn",18412,23628,5216,28.3293504236368,"Inner Suburban"
"Glen Waverley",34058,43525,9467,27.7966997474896,"Inner Suburban"
"Belmont",13256,16920,3664,27.6403138201569,"Regional"
"Ringwood",14172,17715,3543,25,"Outer Suburban"
"Frankston",31933,39848,7915,24.7862712554411,"Regional"
"Brighton",19690,24545,4855,24.65718638903,"Inner Suburban"
"Mooroolbark",18398,21744,3346,18.1867594303729,"Outer Suburban"
"Mitcham",13894,15981,2087,15.0208723189866,"Inner Suburban"
"Balwyn North",19335,22226,2891,14.9521592966124,"Inner Suburban"
"Camberwell",19993,22896,2903,14.52008202871,"Inner Suburban"
"Kew",23271,26166,2895,12.4403764341885,"Inner Suburban"
"Dandenong North",21270,23856,2586,12.1579689703808,"Outer Suburban"
"Altona Meadows",18692,20846,2154,11.5236464797774,"Inner Suburban"
"Doncaster",19024,20372,1348,7.08578637510513,"Inner Suburban"
"Boronia",20483,21784,1301,6.3516086510765,"Outer Suburban"
"Doncaster East",25633,27184,1551,6.05079389849023,"Inner Suburban"
"Ferntree Gully",26603,27634,1031,3.8755027628463,"Inner Suburban"
"Wantirna South",17871,18446,575,3.21750321750322,"Inner Suburban"
"Greensborough",21376,21921,545,2.54958832335329,"Inner Suburban"
"Templestowe",17458,17278,-180,-1.03104593882461,"Inner Suburban"
"Wheelers Hill",20716,20367,-349,-1.68468816373817,"Inner Suburban"
"Eltham",20190,18745,-1445,-7.15700842000991,"Inner Suburban"
