"x","y","year"
144.137082784832,-37.3404163134851,"2020"
144.143749451472,-37.3404163134851,"2010"
144.170416118033,-38.0537496439475,"2015"
144.170416118033,-38.0470829773077,"2005"
144.177082784674,-38.4137496424987,"2000"
144.183749451314,-38.4070829758588,"2005"
144.223749451156,-37.6004163124387,"2000"
144.270416117637,-38.2270829765833,"2020"
144.297082784198,-38.3470829761003,"1980"
144.297082784198,-38.3404163094605,"2000"
144.303749450839,-38.3404163094605,"1975"
144.303749450839,-38.2137496433036,"2010"
144.303749450839,-38.2070829766638,"2005"
144.303749450839,-38.1804163101044,"2015"
144.303749450839,-38.1737496434646,"2000"
144.303749450839,-38.1670829768248,"2005"
144.303749450839,-38.1604163101849,"2015"
144.310416117479,-38.3337496428207,"2015"
144.310416117479,-38.2137496433036,"2020"
144.310416117479,-38.2070829766638,"2010"
144.310416117479,-38.1937496433841,"2015"
144.310416117479,-38.1870829767443,"2015"
144.310416117479,-38.1804163101044,"1985"
144.310416117479,-38.1737496434646,"1980"
144.310416117479,-38.1670829768248,"1995"
144.317082784119,-38.3337496428207,"1975"
144.317082784119,-38.3270829761808,"1975"
144.317082784119,-38.320416309541,"2015"
144.317082784119,-38.2070829766638,"1995"
144.317082784119,-38.2004163100239,"2020"
144.317082784119,-38.1937496433841,"2005"
144.317082784119,-38.1870829767443,"1980"
144.317082784119,-38.1804163101044,"1975"
144.317082784119,-38.1737496434646,"1975"
144.317082784119,-38.1670829768248,"1975"
144.317082784119,-38.1604163101849,"1975"
144.317082784119,-38.1537496435451,"2010"
144.323749450759,-38.3337496428207,"1975"
144.323749450759,-38.3270829761808,"1975"
144.323749450759,-38.320416309541,"1980"
144.323749450759,-38.2137496433036,"2020"
144.323749450759,-38.2070829766638,"1975"
144.323749450759,-38.2004163100239,"2015"
144.323749450759,-38.1937496433841,"2000"
144.323749450759,-38.1870829767443,"1975"
144.323749450759,-38.1804163101044,"1975"
144.323749450759,-38.1737496434646,"1975"
144.323749450759,-38.1670829768248,"1975"
144.323749450759,-38.1537496435451,"2005"
144.323749450759,-38.1404163102654,"1975"
144.323749450759,-38.1337496436256,"1975"
144.323749450759,-38.1270829769857,"1975"
144.323749450759,-38.1204163103459,"1975"
144.323749450759,-38.1137496437061,"1995"
144.323749450759,-38.1070829770662,"2000"
144.323749450759,-38.1004163104264,"1975"
144.3304161174,-38.320416309541,"1980"
144.3304161174,-38.3137496429011,"2010"
144.3304161174,-38.3070829762613,"2020"
144.3304161174,-38.2270829765833,"2020"
144.3304161174,-38.2070829766638,"1975"
144.3304161174,-38.2004163100239,"1975"
144.3304161174,-38.1937496433841,"1995"
144.3304161174,-38.1870829767443,"1975"
144.3304161174,-38.1804163101044,"1975"
144.3304161174,-38.1737496434646,"1975"
144.3304161174,-38.1537496435451,"1975"
144.3304161174,-38.1470829769052,"1975"
144.3304161174,-38.1404163102654,"1975"
144.3304161174,-38.1337496436256,"1975"
144.3304161174,-38.1270829769857,"1975"
144.3304161174,-38.1204163103459,"1975"
144.3304161174,-38.1137496437061,"1985"
144.3304161174,-38.1070829770662,"1975"
144.3304161174,-38.1004163104264,"1975"
144.3304161174,-38.0937496437866,"1975"
144.33708278404,-38.3137496429011,"2005"
144.33708278404,-38.240416309863,"2020"
144.33708278404,-38.2070829766638,"1975"
144.33708278404,-38.2004163100239,"1975"
144.33708278404,-38.1937496433841,"2000"
144.33708278404,-38.1870829767443,"1975"
144.33708278404,-38.1804163101044,"1975"
144.33708278404,-38.1737496434646,"1975"
144.33708278404,-38.1670829768248,"1975"
144.33708278404,-38.1604163101849,"1975"
144.33708278404,-38.1537496435451,"1975"
144.33708278404,-38.1470829769052,"1975"
144.33708278404,-38.1404163102654,"1975"
144.33708278404,-38.1337496436256,"1975"
144.33708278404,-38.1270829769857,"1975"
144.33708278404,-38.1204163103459,"2010"
144.33708278404,-38.1137496437061,"1975"
144.33708278404,-38.1070829770662,"1975"
144.33708278404,-38.1004163104264,"2000"
144.33708278404,-38.0870829771467,"1975"
144.34374945068,-38.3137496429011,"2010"
144.34374945068,-38.3070829762613,"2020"
144.34374945068,-38.240416309863,"2020"
144.34374945068,-38.2070829766638,"2005"
144.34374945068,-38.2004163100239,"2005"
144.34374945068,-38.1937496433841,"2000"
144.34374945068,-38.1870829767443,"1975"
144.34374945068,-38.1804163101044,"1975"
144.34374945068,-38.1737496434646,"1975"
144.34374945068,-38.1604163101849,"1975"
144.34374945068,-38.1537496435451,"1975"
144.34374945068,-38.1470829769052,"1975"
144.34374945068,-38.1404163102654,"1975"
144.34374945068,-38.1337496436256,"1975"
144.34374945068,-38.1204163103459,"1975"
144.34374945068,-38.1137496437061,"1975"
144.34374945068,-38.1070829770662,"1985"
144.34374945068,-38.1004163104264,"1975"
144.34374945068,-38.0937496437866,"1995"
144.34374945068,-38.0870829771467,"1975"
144.34374945068,-38.0804163105069,"1975"
144.34374945068,-38.073749643867,"1975"
144.34374945068,-38.0670829772272,"1975"
144.350416117321,-38.2004163100239,"2010"
144.350416117321,-38.1870829767443,"2000"
144.350416117321,-38.1804163101044,"1975"
144.350416117321,-38.1737496434646,"1975"
144.350416117321,-38.1604163101849,"1975"
144.350416117321,-38.1537496435451,"1975"
144.350416117321,-38.1470829769052,"1975"
144.350416117321,-38.1404163102654,"1975"
144.350416117321,-38.1337496436256,"1975"
144.350416117321,-38.1270829769857,"1975"
144.350416117321,-38.1204163103459,"1975"
144.350416117321,-38.1137496437061,"1975"
144.350416117321,-38.1070829770662,"1975"
144.350416117321,-38.0937496437866,"1975"
144.350416117321,-38.0870829771467,"1975"
144.350416117321,-38.0804163105069,"1975"
144.350416117321,-38.073749643867,"1975"
144.350416117321,-38.0670829772272,"1990"
144.357082783961,-38.1937496433841,"2010"
144.357082783961,-38.1604163101849,"1975"
144.357082783961,-38.1537496435451,"1975"
144.357082783961,-38.1470829769052,"1975"
144.357082783961,-38.1137496437061,"1980"
144.357082783961,-38.1004163104264,"1975"
144.357082783961,-38.0937496437866,"1975"
144.357082783961,-38.0870829771467,"1975"
144.357082783961,-38.0804163105069,"1975"
144.357082783961,-38.073749643867,"1975"
144.357082783961,-38.0670829772272,"1985"
144.363749450601,-38.240416309863,"2020"
144.363749450601,-38.1737496434646,"2010"
144.363749450601,-38.1670829768248,"1975"
144.363749450601,-38.1604163101849,"1975"
144.363749450601,-38.1537496435451,"1975"
144.363749450601,-38.1470829769052,"1975"
144.363749450601,-38.1004163104264,"2015"
144.363749450601,-38.0937496437866,"1975"
144.363749450601,-38.0870829771467,"1975"
144.363749450601,-38.073749643867,"1975"
144.363749450601,-38.0670829772272,"2000"
144.363749450601,-38.0537496439475,"2020"
144.370416117241,-38.240416309863,"2020"
144.370416117241,-38.2337496432231,"2020"
144.370416117241,-38.1870829767443,"2015"
144.370416117241,-38.1804163101044,"1985"
144.370416117241,-38.1670829768248,"1975"
144.370416117241,-38.1604163101849,"1975"
144.370416117241,-38.1537496435451,"1975"
144.370416117241,-38.1004163104264,"2020"
144.370416117241,-38.0870829771467,"2015"
144.370416117241,-38.0670829772272,"1975"
144.377082783882,-38.1870829767443,"2000"
144.377082783882,-38.1804163101044,"2000"
144.377082783882,-38.1670829768248,"1975"
144.377082783882,-38.1604163101849,"1975"
144.377082783882,-38.1537496435451,"2020"
144.377082783882,-38.0937496437866,"1990"
144.377082783882,-38.0804163105069,"1985"
144.377082783882,-38.0670829772272,"1980"
144.377082783882,-38.0537496439475,"2020"
144.383749450522,-38.1804163101044,"1975"
144.383749450522,-38.1737496434646,"1975"
144.383749450522,-38.1670829768248,"1975"
144.383749450522,-38.1604163101849,"1975"
144.383749450522,-38.0804163105069,"1975"
144.383749450522,-38.073749643867,"1975"
144.383749450522,-38.0537496439475,"2015"
144.383749450522,-38.0270829773882,"2015"
144.383749450522,-38.0204163107484,"2020"
144.390416117162,-38.1937496433841,"2000"
144.390416117162,-38.1870829767443,"1995"
144.390416117162,-38.1804163101044,"1975"
144.390416117162,-38.1737496434646,"1975"
144.390416117162,-38.1670829768248,"1975"
144.390416117162,-38.1604163101849,"1975"
144.390416117162,-38.0470829773077,"2005"
144.390416117162,-38.0270829773882,"2005"
144.390416117162,-38.0204163107484,"1990"
144.397082783802,-38.1937496433841,"2010"
144.397082783802,-38.1870829767443,"1995"
144.397082783802,-38.1804163101044,"1975"
144.397082783802,-38.1737496434646,"1975"
144.397082783802,-38.1670829768248,"1975"
144.397082783802,-38.1604163101849,"2005"
144.397082783802,-38.033749644028,"2000"
144.397082783802,-38.0270829773882,"2000"
144.397082783802,-38.0204163107484,"2015"
144.403749450443,-38.1737496434646,"1995"
144.403749450443,-38.1670829768248,"2010"
144.403749450443,-38.0270829773882,"2025"
144.403749450443,-38.0204163107484,"2020"
144.410416117083,-38.1670829768248,"1975"
144.410416117083,-38.0270829773882,"2000"
144.410416117083,-38.0204163107484,"1990"
144.410416117083,-38.0137496441085,"2020"
144.417082783723,-38.1670829768248,"1975"
144.417082783723,-38.0270829773882,"1995"
144.423749450363,-38.0270829773882,"2020"
144.423749450363,-37.6870829787566,"2000"
144.423749450363,-37.6670829788371,"2020"
144.423749450363,-37.6537496455574,"2015"
144.430416117004,-37.6737496454769,"1995"
144.430416117004,-37.6670829788371,"2015"
144.437082783644,-37.6804163121167,"2005"
144.437082783644,-37.6737496454769,"1975"
144.437082783644,-37.6670829788371,"1990"
144.437082783644,-37.6604163121972,"2015"
144.437082783644,-37.6537496455574,"2005"
144.437082783644,-37.6470829789175,"2025"
144.443749450284,-37.6737496454769,"1980"
144.443749450284,-37.6537496455574,"2015"
144.450416116924,-37.2470829805274,"1975"
144.457082783565,-38.2004163100239,"2015"
144.457082783565,-38.1937496433841,"2000"
144.457082783565,-38.1870829767443,"2010"
144.457082783565,-37.2470829805274,"1975"
144.463749450205,-38.1937496433841,"1995"
144.463749450205,-38.1870829767443,"2000"
144.463749450205,-38.1804163101044,"2000"
144.463749450205,-37.2537496471672,"2020"
144.470416116845,-38.1937496433841,"1980"
144.470416116845,-38.1870829767443,"1975"
144.470416116845,-38.1804163101044,"1995"
144.477082783485,-38.1870829767443,"2005"
144.477082783485,-38.1804163101044,"2010"
