"suburb","pop_density","year"
"Abbotsford",1691.8,1975
"Aberfeldie",1947.95,1975
"Acheron",1.69,1975
"Ada",0,1975
"Adams Estate",3.14,1975
"Aintree",0.82,1975
"Aireys Inlet",22.02,1975
"Airport West",1870.6,1975
"Albanvale",2841.47,1975
"Albert Park",1318.51,1975
"Albion",1245.9,1975
"Alexandra",24.93,1975
"Allambee",1.74,1975
"Almurta",2.45,1975
"Alphington",1361.16,1975
"Altona",623.58,1975
"Altona Meadows",1758.53,1975
"Altona North",807.43,1975
"Anakie",2.39,1975
"Anderson",4.96,1975
"Anglesea",15.74,1975
"Arawata",4.63,1975
"Archies Creek",19.61,1975
"Ardeer",1011.21,1975
"Armadale",3336.84,1975
"Armstrong Creek",4.14,1975
"Arthurs Creek",12.31,1975
"Arthurs Seat",25.54,1975
"Ascot Vale",2727.13,1975
"Ashbourne",2.95,1975
"Ashburton",2143.61,1975
"Ashwood",1721.74,1975
"Aspendale",1730.19,1975
"Aspendale Gardens",860.7,1975
"Athlone",2.47,1975
"Attwood",523.27,1975
"Avalon",2.33,1975
"Avondale Heights",2356.86,1975
"Avonsleigh",49.72,1975
"Bacchus Marsh",136.23,1975
"Badger Creek",128.07,1975
"Balaclava",4519.35,1975
"Ballan",12.21,1975
"Balliang",1.19,1975
"Balliang East",0.73,1975
"Balnarring",42.86,1975
"Balnarring Beach",151.08,1975
"Balwyn",2685.27,1975
"Balwyn North",2079.81,1975
"Bambra",1.96,1975
"Bamganie",1.12,1975
"Bangholme",23.35,1975
"Bannockburn",11.77,1975
"Barkstead",0.81,1975
"Barrabool",4.14,1975
"Barrys Reef",0.94,1975
"Barwon Heads",247.2,1975
"Basalt",1.37,1975
"Bass",2.94,1975
"Batesford",19.76,1975
"Baxter",133.87,1975
"Bayles",6.84,1975
"Baynton",0.56,1975
"Bayswater",1317.76,1975
"Bayswater North",1156.58,1975
"Beaconsfield",84.31,1975
"Beaconsfield Upper",47.4,1975
"Beaumaris",2213.01,1975
"Beenak",3.73,1975
"Belgrave",1059.71,1975
"Belgrave Heights",642.46,1975
"Belgrave South",141.05,1975
"Bell Park",1404.56,1975
"Bell Post Hill",773.72,1975
"Bellarine",4.55,1975
"Bellbrae",5.32,1975
"Bellfield",1797.23,1975
"Bells Beach",4.53,1975
"Belmont",1412.18,1975
"Bena",4.07,1975
"Bend of Islands",40.28,1975
"Benloch",3.79,1975
"Bentleigh",2421.28,1975
"Bentleigh East",2208.96,1975
"Beremboke",2.04,1975
"Berwick",479.06,1975
"Beveridge",3.75,1975
"Big Hill",0.72,1975
"Big Pats Creek",11.78,1975
"Bittern",111.52,1975
"Black Rock",1519.68,1975
"Blackburn",1829.12,1975
"Blackburn North",2220.27,1975
"Blackburn South",2600.43,1975
"Blackwood",5.98,1975
"Blairgowrie",219.03,1975
"Blakeville",0.2,1975
"Blampied",3.1,1975
"Blind Bight",84.03,1975
"Bolinda",3.26,1975
"Bolwarrah",2.02,1975
"Bona Vista",5.91,1975
"Bonbeach",1451.25,1975
"Boneo",7.05,1975
"Bonnie Brook",1.23,1975
"Boonah",0.41,1975
"Boronia",1854.46,1975
"Botanic Ridge",30.36,1975
"Box Hill",2031.75,1975
"Box Hill North",2345.11,1975
"Box Hill South",1661.63,1975
"Braeside",21.74,1975
"Brandy Creek",5.47,1975
"Bravington",17.81,1975
"Braybrook",1026.62,1975
"Breakwater",227.25,1975
"Breamlea",24.27,1975
"Briar Hill",2442.46,1975
"Brighton",2256.93,1975
"Brighton East",2232.63,1975
"Broadford",18.08,1975
"Broadmeadows",884.25,1975
"Brookfield",137.68,1975
"Brooklyn",310.84,1975
"Brunswick",3060.77,1975
"Brunswick East",2490.42,1975
"Brunswick West",3075.28,1975
"Buckley",2.33,1975
"Buffalo",1.95,1975
"Bulla",9.34,1975
"Bullarook",2.57,1975
"Bullarto",3.66,1975
"Bullarto South",4.18,1975
"Bulleen",1673,1975
"Bullengarook",5.19,1975
"Buln Buln",21.05,1975
"Buln Buln East",5.5,1975
"Bunding",4.78,1975
"Bundoora",918.22,1975
"Bungal",1.34,1975
"Bungaree",7.96,1975
"Bunyip",40.1,1975
"Bunyip North",3.23,1975
"Burnley",513.57,1975
"Burnside",57.46,1975
"Burnside Heights",121.94,1975
"Burwood",1678.25,1975
"Burwood East",2179.53,1975
"Buxton",6.68,1975
"Bylands",2.39,1975
"Cadello",2.37,1975
"Cairnlea",21.81,1975
"Calder Park",14.32,1975
"Caldermeade",1.49,1975
"Cambarville",0.02,1975
"Camberwell",2598.49,1975
"Campbellfield",297,1975
"Campbelltown",0.69,1975
"Cannons Creek",28.13,1975
"Canterbury",2354.35,1975
"Cape Paterson",28.19,1975
"Cape Schanck",10.48,1975
"Cape Woolamai",113.82,1975
"Capel Sound",574.41,1975
"Cardinia",4.72,1975
"Carlsruhe",4.7,1975
"Carlton",1589.07,1975
"Carlton North",2903.35,1975
"Carnegie",3146.8,1975
"Caroline Springs",54.95,1975
"Carrum",1803.98,1975
"Carrum Downs",569.35,1975
"Castella",11.08,1975
"Catani",2.87,1975
"Cathkin",1.01,1975
"Caulfield",2720.09,1975
"Caulfield East",812.32,1975
"Caulfield North",2822.76,1975
"Caulfield South",2731.56,1975
"Ceres",11.78,1975
"Chadstone",1905.8,1975
"Charlemont",23.63,1975
"Chelsea",2000.87,1975
"Chelsea Heights",1645.61,1975
"Cheltenham",1558.22,1975
"Cherokee",9.1,1975
"Chintin",2.88,1975
"Chirnside Park",384.28,1975
"Christmas Hills",7.15,1975
"Chum Creek",36.19,1975
"Churchill Island",1,1975
"Clarendon",6.3,1975
"Claretown",4.09,1975
"Clarinda",2135.96,1975
"Clarkefield",2.74,1975
"Clarkes Hill",3.24,1975
"Clayton",1185.26,1975
"Clayton South",1213.01,1975
"Clematis",109.62,1975
"Clifton Hill",2734.83,1975
"Clifton Springs",612.54,1975
"Clonbinane",0.39,1975
"Cloverlea",4.93,1975
"Clyde",5.03,1975
"Clyde North",1.12,1975
"Clydesdale",2.47,1975
"Cobaw",5.68,1975
"Cobblebank",8.52,1975
"Coburg",2548.75,1975
"Coburg North",1115.97,1975
"Cockatoo",71.24,1975
"Cocoroc",0,1975
"Coimadai",1.62,1975
"Colbrook",1.61,1975
"Coldstream",33.09,1975
"Collingwood",2860.58,1975
"Connewarre",3.95,1975
"Coolaroo",791.28,1975
"Coomoora",17,1975
"Cora Lynn",4.52,1975
"Corinella",29.11,1975
"Corio",727.95,1975
"Coronet Bay",83.84,1975
"Cottles Bridge",33.39,1975
"Cowes",95.5,1975
"Craigieburn",194.01,1975
"Cranbourne",302.73,1975
"Cranbourne East",10.83,1975
"Cranbourne North",347.96,1975
"Cranbourne South",22.15,1975
"Cranbourne West",93.21,1975
"Cremorne",1953.27,1975
"Crib Point",231.72,1975
"Crossover",10.24,1975
"Croydon",1405.93,1975
"Croydon Hills",2050.71,1975
"Croydon North",1804.39,1975
"Croydon South",1544.21,1975
"Curlewis",7,1975
"Dales Creek",46.29,1975
"Dallas",1827.93,1975
"Dalmore",3.8,1975
"Dalyston",11.21,1975
"Dandenong",1588.11,1975
"Dandenong North",2244.22,1975
"Dandenong South",11.91,1975
"Darley",74.36,1975
"Darnum",11.04,1975
"Darraweit Guim",3.91,1975
"Daylesford",57.53,1975
"Dean",3.65,1975
"Deanside",3.32,1975
"Deepdene",2104.45,1975
"Deer Park",693.31,1975
"Delahey",2134.36,1975
"Denver",8.28,1975
"Derrimut",178.2,1975
"Devils River",0.63,1975
"Devon Meadows",17.41,1975
"Dewhurst",9.15,1975
"Diamond Creek",581.87,1975
"Diggers Rest",18.45,1975
"Dingley Village",1226.16,1975
"Dixons Creek",6.27,1975
"Docklands",24.16,1975
"Don Valley",39.99,1975
"Doncaster",2058.7,1975
"Doncaster East",2430.71,1975
"Donnybrook",2.53,1975
"Donvale",1068.32,1975
"Doreen",23.45,1975
"Doveton",1444.9,1975
"Dromana",99.72,1975
"Drouin",100.88,1975
"Drouin East",14.63,1975
"Drouin South",4.73,1975
"Drouin West",8.18,1975
"Drumcondra",1974.64,1975
"Drummond",3.3,1975
"Drummond North",5.35,1975
"Dry Diggings",3.59,1975
"Drysdale",44.84,1975
"Dunnstown",9.49,1975
"Durdidwarrah",0.51,1975
"Eaglemont",1772.74,1975
"East Geelong",975.77,1975
"East Melbourne",708.8,1975
"East Warburton",4.57,1975
"Eastern View",0.83,1975
"Eden Park",20.53,1975
"Edgecombe",9.73,1975
"Edithvale",2132.35,1975
"Eganstown",4.6,1975
"Eildon",1.44,1975
"Elaine",1.68,1975
"Elevated Plains",2.2,1975
"Elizabeth Island",0,1975
"Ellinbank",4.42,1975
"Elsternwick",3040.34,1975
"Eltham",1209.76,1975
"Eltham North",1906.13,1975
"Elwood",3581.27,1975
"Emerald",53.45,1975
"Endeavour Hills",1330.39,1975
"Epping",295,1975
"Essendon",2543.85,1975
"Essendon Fields",14.3,1975
"Essendon North",2304.25,1975
"Essendon West",1214.52,1975
"Eumemmerring",1305.19,1975
"Exford",5.93,1975
"Eynesbury",1.13,1975
"Fairbank",3.98,1975
"Fairfield",1330.01,1975
"Fairhaven",38.9,1975
"Fawcett",0.93,1975
"Fawkner",2002.42,1975
"Fern Hill",4.65,1975
"Ferndale",3.01,1975
"Fernshaw",0,1975
"Ferntree Gully",1885.33,1975
"Ferny Creek",276.09,1975
"Fieldstone",0.57,1975
"Fingal",12.19,1975
"Fiskville",1.47,1975
"Fitzroy",4419.24,1975
"Fitzroy North",3506.56,1975
"Flemington",1862.84,1975
"Flinders",11.86,1975
"Flowerdale",3.59,1975
"Footscray",1535.83,1975
"Forbes",3.06,1975
"Forest Hill",2398.1,1975
"Franklinford",1.87,1975
"Frankston",1607.86,1975
"Frankston North",1017.71,1975
"Frankston South",968.59,1975
"Fraser Rise",2.22,1975
"French Island",0.34,1975
"Freshwater Creek",5.04,1975
"Fryerstown",2.29,1975
"Fyansford",9.61,1975
"Gainsborough",6.74,1975
"Gardenvale",2837.15,1975
"Garfield",25.99,1975
"Garfield North",4.76,1975
"Geelong",1179.51,1975
"Geelong West",2453.76,1975
"Gembrook",4.61,1975
"Gentle Annie",0,1975
"Gherang",6.77,1975
"Gheringhap",0.92,1975
"Ghin Ghin",0.45,1975
"Gilderoy",4.02,1975
"Gisborne",45.73,1975
"Gisborne South",26.56,1975
"Gladstone Park",1748.86,1975
"Gladysdale",17.37,1975
"Glen Alvie",3.48,1975
"Glen Forbes",4.69,1975
"Glen Huntly",3630.27,1975
"Glen Iris",2491.96,1975
"Glen Waverley",2026.85,1975
"Glenaroua",0.87,1975
"Glenburn",1.77,1975
"Glenluce",1.92,1975
"Glenlyon",3.32,1975
"Glenmore",0.76,1975
"Glenroy",1544.67,1975
"Gnarwarre",1.79,1975
"Goldie",3.35,1975
"Gordon",17.22,1975
"Gowanbrae",1164.64,1975
"Grangefields",2.6,1975
"Grantville",25.18,1975
"Greendale",6.8,1975
"Greenhill",5.8,1975
"Greensborough",2063.51,1975
"Greenvale",188.82,1975
"Grovedale",1084.76,1975
"Gruyere",14.32,1975
"Guildford",5.22,1975
"Guys Hill",10.36,1975
"Hadfield",1346.27,1975
"Hallam",768.56,1975
"Hallora",2.83,1975
"Hallston",2.21,1975
"Hamlyn Heights",1339.35,1975
"Hampton",2408.38,1975
"Hampton East",2683.7,1975
"Hampton Park",612.05,1975
"Harkaway",29.05,1975
"Harkness",31.85,1975
"Harmers Haven",4.04,1975
"Hastings",174.29,1975
"Hawthorn",3121.07,1975
"Hawthorn East",3143.78,1975
"Healesville",42.5,1975
"Heath Hill",3.26,1975
"Heathcote Junction",24.48,1975
"Heatherton",243.85,1975
"Heathmont",1835.57,1975
"Heidelberg",1702.87,1975
"Heidelberg Heights",2598.5,1975
"Heidelberg West",1670.68,1975
"Hepburn",94.95,1975
"Hepburn Springs",73.14,1975
"Herne Hill",1933.32,1975
"Hesket",4.52,1975
"High Camp",1.31,1975
"Highett",2181.87,1975
"Highlands",0.71,1975
"Highton",830.71,1975
"Hillside",315.09,1975
"Hmas Cerberus",38.76,1975
"Hoddles Creek",12.55,1975
"Homewood",1.1,1975
"Hopetoun Park",21.16,1975
"Hoppers Crossing",822.61,1975
"Howes Creek",1.97,1975
"Hughesdale",2587.22,1975
"Humevale",3.5,1975
"Huntingdale",1816.31,1975
"Hurstbridge",271.98,1975
"Indented Head",100.65,1975
"Ingliston",1.13,1975
"Inverleigh",2.93,1975
"Inverloch",27.8,1975
"Iona",3.87,1975
"Irishtown",2.59,1975
"Ivanhoe",1915.23,1975
"Ivanhoe East",1727.81,1975
"Jacana",1116.7,1975
"Jam Jerrup",3.06,1975
"Jan Juc",197.01,1975
"Jeetho",5.29,1975
"Jindivick",5.2,1975
"Jumbunna",2.38,1975
"Junction Village",205.74,1975
"Kalkallo",0.28,1975
"Kallista",131.05,1975
"Kalorama",144.63,1975
"Kangaroo Ground",35.36,1975
"Kardella",7.02,1975
"Kardella South",7.25,1975
"Kealba",1353.9,1975
"Keilor",711.63,1975
"Keilor Downs",2195.69,1975
"Keilor East",1601.24,1975
"Keilor Lodge",1686,1975
"Keilor North",13.19,1975
"Keilor Park",1026.3,1975
"Kensington",1173.66,1975
"Kernot",1.9,1975
"Kerrie",2.62,1975
"Kerrisdale",1.33,1975
"Kew",2144.05,1975
"Kew East",1423.9,1975
"Keysborough",641.32,1975
"Kilcunda",11.41,1975
"Killingworth",2.4,1975
"Kilmore",52.42,1975
"Kilmore East",3,1975
"Kilsyth",1051.16,1975
"Kilsyth South",787.54,1975
"Kinglake",14.4,1975
"Kinglake Central",8.38,1975
"Kinglake West",17.41,1975
"Kings Park",3425.68,1975
"Kingsbury",982.54,1975
"Kingsville",3517.17,1975
"Knoxfield",1219.06,1975
"Kongwak",2.57,1975
"Koo Wee Rup",17.24,1975
"Koo Wee Rup North",5.85,1975
"Koonwarra",6.41,1975
"Kooroocheang",1.36,1975
"Koorooman",3.52,1975
"Kooyong",1425.37,1975
"Koriella",1.04,1975
"Korobeit",2.88,1975
"Korumburra",42.9,1975
"Korumburra South",3.77,1975
"Korweinguboora",3.36,1975
"Krowera",1.99,1975
"Kurunjang",231.12,1975
"Kyneton",38.75,1975
"Kyneton South",2.83,1975
"Labertouche",3.59,1975
"Lake Eildon",0.08,1975
"Lal Lal",6.77,1975
"Lalor",1477.37,1975
"Lance Creek",2.92,1975
"Lancefield",10.83,1975
"Lang Lang",5.7,1975
"Lang Lang East",2.1,1975
"Langdons Hill",3.77,1975
"Langley",1.29,1975
"Langwarrin",476.22,1975
"Langwarrin South",83.29,1975
"Lara",104.13,1975
"Lardner",4.78,1975
"Launching Place",67.72,1975
"Lauriston",3.86,1975
"Laverton",420.64,1975
"Laverton North",2.42,1975
"Leonards Hill",3,1975
"Leongatha",79.55,1975
"Leongatha North",3.92,1975
"Leongatha South",2.49,1975
"Leopold",230.27,1975
"Lerderderg",0.02,1975
"Lethbridge",5.42,1975
"Lillico",9.97,1975
"Lilydale",452.39,1975
"Limestone",0.46,1975
"Little Hampton",5.88,1975
"Little River",3.16,1975
"Loch",5.12,1975
"Loch Valley",0.01,1975
"Long Forest",8.99,1975
"Longwarry",15.95,1975
"Longwarry North",7.98,1975
"Lorne",6.46,1975
"Lovely Banks",53.65,1975
"Lower Plenty",572.08,1975
"Lynbrook",42.89,1975
"Lyndhurst",7.55,1975
"Lyonville",1.7,1975
"Lysterfield",161.88,1975
"Lysterfield South",106.63,1975
"Macclesfield",31.39,1975
"Macedon",46.88,1975
"Macleod",1769.83,1975
"Maddingley",24.95,1975
"Maidstone",1267.85,1975
"Main Ridge",12.7,1975
"Maintongoon",1.44,1975
"Malmsbury",13.5,1975
"Malvern",2801.67,1975
"Malvern East",2284.34,1975
"Mambourin",0.21,1975
"Manifold Heights",2403.85,1975
"Mannerim",1.48,1975
"Manor Lakes",32.56,1975
"Marcus Hill",2.75,1975
"Maribyrnong",583.91,1975
"Marshall",296.32,1975
"Maryknoll",73.69,1975
"Marysville",1.14,1975
"Maude",1.96,1975
"McCrae",372.85,1975
"McKinnon",2696.98,1975
"McMahons Creek",0.31,1975
"Meadow Heights",2376.44,1975
"Meeniyan",8.96,1975
"Melbourne",877.55,1975
"Melbourne Airport",6.34,1975
"Melton",95.75,1975
"Melton South",381.46,1975
"Melton West",156.19,1975
"Mentone",2120.11,1975
"Menzies Creek",131.56,1975
"Meredith",1.8,1975
"Mernda",10.91,1975
"Merricks",15.45,1975
"Merricks Beach",9.82,1975
"Merricks North",12.35,1975
"Merrimu",4.09,1975
"Metcalfe East",2.81,1975
"Mickleham",5.72,1975
"Middle Park",2679.81,1975
"Middle Tarwin",1.46,1975
"Mill Park",1599.35,1975
"Millbrook",5.93,1975
"Millgrove",177.77,1975
"Mitcham",2134.54,1975
"Modella",2.81,1975
"Modewarre",3.07,1975
"Moggs Creek",7.22,1975
"Molesworth",0.73,1975
"Mollongghip",4.1,1975
"Monbulk",187.85,1975
"Monegeetta",4.96,1975
"Monomeith",1.3,1975
"Mont Albert",2400.76,1975
"Mont Albert North",2089.76,1975
"Montmorency",2282.54,1975
"Montrose",637.26,1975
"Moolap",28.04,1975
"Moonee Ponds",2443.62,1975
"Moorabbin",693.82,1975
"Moorabbin Airport",1.71,1975
"Moorabool",4.22,1975
"Moorooduc",14.5,1975
"Mooroolbark",1510.61,1975
"Moranding",1.93,1975
"Mordialloc",1125.69,1975
"Moriac",24.37,1975
"Mornington",539.07,1975
"Morrisons",1.1,1975
"Mount Burnett",11.78,1975
"Mount Cottrell",0.54,1975
"Mount Dandenong",145.27,1975
"Mount Doran",7.25,1975
"Mount Duneed",6.61,1975
"Mount Eccles",2.67,1975
"Mount Eccles South",2.52,1975
"Mount Egerton",8.23,1975
"Mount Eliza",479.76,1975
"Mount Evelyn",548.51,1975
"Mount Franklin",3.5,1975
"Mount Macedon",36.87,1975
"Mount Martha",219.35,1975
"Mount Moriac",3.71,1975
"Mount Prospect",3.29,1975
"Mount Toolebewong",3.02,1975
"Mount Wallace",1.32,1975
"Mount Waverley",1811.47,1975
"Mountain View",3.63,1975
"Moyarra",3.76,1975
"Mulgrave",1361.06,1975
"Murgheboluc",1.13,1975
"Murrindindi",0.38,1975
"Murrumbeena",2650.53,1975
"Musk",8.75,1975
"Musk Vale",1.29,1975
"Myrniong",4.19,1975
"Nangana",7.53,1975
"Nar Nar Goon",8.31,1975
"Nar Nar Goon North",7.34,1975
"Narbethong",0.82,1975
"Narre Warren",1301.33,1975
"Narre Warren East",34.46,1975
"Narre Warren North",172.41,1975
"Narre Warren South",316.75,1975
"Nayook",5.82,1975
"Neerim",8.45,1975
"Neerim East",1.29,1975
"Neerim Junction",7.01,1975
"Neerim North",2.31,1975
"Neerim South",13.61,1975
"Nerrena",3.7,1975
"New Gisborne",55.87,1975
"Newbury",7.62,1975
"Newcomb",989.95,1975
"Newham",6.94,1975
"Newhaven",29.87,1975
"Newlyn",4.34,1975
"Newlyn North",5.4,1975
"Newport",1882.81,1975
"Newtown",1489.01,1975
"Niddrie",2482.55,1975
"Nilma",43.91,1975
"Nilma North",5.68,1975
"Noble Park",2664.2,1975
"Noble Park North",2069.97,1975
"Noojee",0.69,1975
"Norlane",1479.68,1975
"North Blackwood",3.18,1975
"North Geelong",404.28,1975
"North Melbourne",1167.55,1975
"North Shore",149.26,1975
"North Warrandyte",350.88,1975
"North Wonthaggi",136.48,1975
"Northcote",2941.29,1975
"Notting Hill",930.75,1975
"Nulla Vale",1.15,1975
"Nunawading",2017.6,1975
"Nutfield",21.97,1975
"Nyora",11.05,1975
"Oak Park",2170.1,1975
"Oaklands Junction",4.57,1975
"Oakleigh",1757.87,1975
"Oakleigh East",2374.43,1975
"Oakleigh South",1261.21,1975
"Ocean Grove",317.34,1975
"Officer",9.01,1975
"Officer South",1.35,1975
"Olinda",95.98,1975
"Ormond",2616.43,1975
"Outtrim",3.07,1975
"Pakenham",44.45,1975
"Pakenham South",3.7,1975
"Pakenham Upper",15.77,1975
"Panton Hill",55.84,1975
"Paraparap",3.39,1975
"Park Orchards",391.54,1975
"Parkdale",2165.6,1975
"Parkville",501.1,1975
"Parwan",2.83,1975
"Pascoe Vale",2264.22,1975
"Pascoe Vale South",2356.57,1975
"Pastoria",0.61,1975
"Pastoria East",0.84,1975
"Patterson Lakes",1312.56,1975
"Pearcedale",44.28,1975
"Pentland Hills",2.33,1975
"Pheasant Creek",15.57,1975
"Piedmont",4.93,1975
"Pioneer Bay",956.31,1975
"Pipers Creek",3.61,1975
"Plenty",155.45,1975
"Plumpton",1.34,1975
"Point Cook",11.55,1975
"Point Leo",34.22,1975
"Point Lonsdale",115.54,1975
"Point Wilson",0.05,1975
"Poowong",7.61,1975
"Poowong East",2.65,1975
"Poowong North",3.2,1975
"Porcupine Ridge",3.07,1975
"Port Melbourne",648.38,1975
"Portarlington",61.02,1975
"Portsea",25.14,1975
"Pound Creek",2.51,1975
"Powelltown",4.42,1975
"Prahran",4520.25,1975
"Preston",2037.86,1975
"Princes Hill",3930.66,1975
"Pyalong",3.7,1975
"Quandong",0.07,1975
"Queenscliff",215.19,1975
"Queensferry",9.71,1975
"Ranceby",2.36,1975
"Ravenhall",33.94,1975
"Red Hill",38.09,1975
"Red Hill South",9.73,1975
"Reedy Creek",2.05,1975
"Reefton",0.23,1975
"Research",336.6,1975
"Reservoir",2083.84,1975
"Rhyll",17.99,1975
"Richmond",3730.17,1975
"Riddells Creek",38.94,1975
"Ringwood",1440.39,1975
"Ringwood East",1806.36,1975
"Ringwood North",1792.48,1975
"Ripplebrook",4.22,1975
"Rippleside",1559.33,1975
"Ripponlea",3539.19,1975
"Rochford",3.83,1975
"Rockbank",23.4,1975
"Rocklyn",4.25,1975
"Rokeby",16.69,1975
"Romsey",35.66,1975
"Rosanna",2137.37,1975
"Rosebud",438.96,1975
"Rowsley",2.21,1975
"Rowville",1325.11,1975
"Roxburgh Park",619.02,1975
"Rubicon",0.17,1975
"Ruby",5.3,1975
"Russells Bridge",1.66,1975
"Ryanston",2.87,1975
"Rye",291.34,1975
"Rythdale",2,1975
"Safety Beach",337.74,1975
"Sailors Falls",10.58,1975
"Sailors Hill",3.13,1975
"San Remo",44.18,1975
"Sandhurst",131.41,1975
"Sandon",1.13,1975
"Sandringham",2111.96,1975
"Sassafras",245.88,1975
"Scoresby",678.97,1975
"Seabrook",2916.53,1975
"Seaford",1107.85,1975
"Seaholme",1998.29,1975
"Seaview",3.48,1975
"Seddon",3503.44,1975
"Selby",269.13,1975
"Seville",102.55,1975
"Seville East",80.28,1975
"She Oaks",2.91,1975
"Shelford",0.57,1975
"Shepherds Flat",1.87,1975
"Sherbrooke",70.89,1975
"Shoreham",27.88,1975
"Sidonia",0.65,1975
"Silvan",42.94,1975
"Silverleaves",62.81,1975
"Skye",62.63,1975
"Smeaton",1.78,1975
"Smiths Beach",93.26,1975
"Smiths Gully",28.8,1975
"Somers",59.74,1975
"Somerton",13.63,1975
"Somerville",175.34,1975
"Sorrento",130.35,1975
"South Dudley",150.34,1975
"South Geelong",438.8,1975
"South Kingsville",2195.91,1975
"South Melbourne",2430.39,1975
"South Morang",38.28,1975
"South Wharf",19.54,1975
"South Yarra",3144.98,1975
"Southbank",730.98,1975
"Spargo Creek",2.58,1975
"Spotswood",610.54,1975
"Spring Hill",3.5,1975
"Springbank",3.9,1975
"Springfield",2.1,1975
"Springvale",1457.47,1975
"Springvale South",2233.15,1975
"St Albans",2346.29,1975
"St Albans Park",960.96,1975
"St Andrews",29.07,1975
"St Andrews Beach",184.54,1975
"St Clair",3.41,1975
"St Helena",2010.33,1975
"St Kilda",3325.11,1975
"St Kilda East",3994.65,1975
"St Kilda West",2930.03,1975
"St Leonards",33.93,1975
"Staughton Vale",1.23,1975
"Steels Creek",5.6,1975
"Steiglitz",0.62,1975
"Stonehaven",1.18,1975
"Strangways",3.38,1975
"Strath Creek",1.09,1975
"Strathewen",7.28,1975
"Strathlea",0.96,1975
"Strathmore",2350.52,1975
"Strathmore Heights",1448.56,1975
"Strathtulloh",1.08,1975
"Strzelecki",1.71,1975
"Sugarloaf Creek",2.68,1975
"Summerlands",0.27,1975
"Sunbury",143.71,1975
"Sunday Creek",2.99,1975
"Sunderland Bay",96.41,1975
"Sunset Strip",361.27,1975
"Sunshine",1325.13,1975
"Sunshine North",1095.21,1975
"Sunshine West",1444.04,1975
"Surf Beach",73.54,1975
"Surrey Hills",2692.71,1975
"Sutherlands Creek",2.11,1975
"Swan Bay",0.52,1975
"Swan Island",0.68,1975
"Sydenham",1637.05,1975
"Taggerty",2.17,1975
"Tallarook",2.86,1975
"Tantaraboo",2.86,1975
"Taradale",6.04,1975
"Tarilta",5.48,1975
"Tarneit",9.34,1975
"Tarrawarra",4.67,1975
"Tarwin",1.27,1975
"Tarwin Lower",1.3,1975
"Taylor Bay",3.99,1975
"Taylors Hill",48.32,1975
"Taylors Lakes",1657.77,1975
"Tecoma",1289.04,1975
"Teesdale",12.65,1975
"Templestowe",1079.7,1975
"Templestowe Lower",2345.4,1975
"Tenby Point",1.76,1975
"Tetoora Road",4.85,1975
"The Basin",812.75,1975
"The Gurdies",4.26,1975
"The Patch",248.4,1975
"Thomastown",1014.78,1975
"Thomson",1439.39,1975
"Thornbury",2910.43,1975
"Thornhill Park",1.22,1975
"Thornton",3.59,1975
"Three Bridges",6.67,1975
"Tonimbuk",2.32,1975
"Toolangi",2.84,1975
"Toolern Vale",2.04,1975
"Tooradin",19.57,1975
"Toorak",2672.77,1975
"Tootgarook",476.35,1975
"Torquay",93.51,1975
"Torwood",3.54,1975
"Tottenham",16.28,1975
"Travancore",2564.9,1975
"Trawool",1.53,1975
"Tremont",76.64,1975
"Trentham",14.41,1975
"Trentham East",2.96,1975
"Trida",1.39,1975
"Truganina",2.08,1975
"Tuerong",6.8,1975
"Tullamarine",711.41,1975
"Tyaak",2.94,1975
"Tyabb",82.49,1975
"Tylden",6.31,1975
"Tylden South",7.16,1975
"Tynong",12.33,1975
"Tynong North",3.79,1975
"Upper Ferntree Gully",932.85,1975
"Upper Plenty",3.47,1975
"Upwey",1173.92,1975
"Vaughan",3.56,1975
"Ventnor",9.15,1975
"Venus Bay",24.07,1975
"Vermont",2020.22,1975
"Vermont South",2032.36,1975
"Vervale",3.77,1975
"Viewbank",1559.56,1975
"Wallace",7.48,1975
"Wallan",39.01,1975
"Wallington",15.94,1975
"Wandana Heights",546.62,1975
"Wandin East",45.25,1975
"Wandin North",165.31,1975
"Wandong",11.27,1975
"Wantirna",1817.49,1975
"Wantirna South",1281.06,1975
"Warburton",16,1975
"Warneet",55.48,1975
"Warragul",162.09,1975
"Warragul South",6.01,1975
"Warragul West",7.51,1975
"Warrandyte",308.86,1975
"Warrandyte South",150.9,1975
"Warranwood",1464.88,1975
"Waterford Park",359.77,1975
"Waterways",503.39,1975
"Watsonia",2390.48,1975
"Watsonia North",2861.63,1975
"Watsons Creek",13.22,1975
"Wattle Bank",3.97,1975
"Wattle Glen",199.74,1975
"Waurn Ponds",96.3,1975
"Weir Views",0.86,1975
"Wensleydale",0.47,1975
"Werona",1.04,1975
"Werribee",289.58,1975
"Werribee South",15.08,1975
"Wesburn",28.17,1975
"West Creek",2.18,1975
"West Footscray",1878.82,1975
"West Melbourne",138.51,1975
"Westmeadows",914.21,1975
"Whanregarwen",1.16,1975
"Wheatsheaf",7.51,1975
"Wheelers Hill",2018.68,1975
"Whitelaw",5.63,1975
"Whittington",2082.82,1975
"Whittlesea",19.79,1975
"Wild Dog Valley",3.26,1975
"Wildwood",4.9,1975
"Williams Landing",5,1975
"Williamstown",2029.96,1975
"Williamstown North",756.4,1975
"Willowmavin",1.73,1975
"Wimbledon Heights",496.4,1975
"Winchelsea",4.74,1975
"Winchelsea South",1.77,1975
