"suburb","built_up","year"
"Abbotsford",2083.04,1975
"Aberfeldie",1767.23,1975
"Acheron",2.76,1975
"Ada",0,1975
"Adams Estate",2.48,1975
"Aintree",1.89,1975
"Aireys Inlet",52.72,1975
"Airport West",2051.86,1975
"Albanvale",1739.35,1975
"Albert Park",1208.28,1975
"Albion",1478.2,1975
"Alexandra",38.39,1975
"Allambee",2.9,1975
"Almurta",5.66,1975
"Alphington",1314.36,1975
"Altona",797.87,1975
"Altona Meadows",906.81,1975
"Altona North",1110.28,1975
"Anakie",3.99,1975
"Anderson",6.99,1975
"Anglesea",44.57,1975
"Arawata",4.57,1975
"Archies Creek",51.68,1975
"Ardeer",1404.91,1975
"Armadale",2433.82,1975
"Armstrong Creek",2.61,1975
"Arthurs Creek",4.56,1975
"Arthurs Seat",8.45,1975
"Ascot Vale",1933.47,1975
"Ashbourne",4.05,1975
"Ashburton",1628.14,1975
"Ashwood",1599.08,1975
"Aspendale",1618.19,1975
"Aspendale Gardens",581.26,1975
"Athlone",5.65,1975
"Attwood",139.17,1975
"Avalon",9.31,1975
"Avondale Heights",1495.28,1975
"Avonsleigh",4.12,1975
"Bacchus Marsh",348.51,1975
"Badger Creek",31.76,1975
"Balaclava",2653.28,1975
"Ballan",9.6,1975
"Balliang",2.74,1975
"Balliang East",0.99,1975
"Balnarring",36.62,1975
"Balnarring Beach",220.1,1975
"Balwyn",1974.97,1975
"Balwyn North",1569.73,1975
"Bambra",4.06,1975
"Bamganie",2.72,1975
"Bangholme",36.16,1975
"Bannockburn",12.97,1975
"Barkstead",0.75,1975
"Barrabool",4.15,1975
"Barrys Reef",1.49,1975
"Barwon Heads",475.55,1975
"Basalt",1.89,1975
"Bass",4.18,1975
"Batesford",6.87,1975
"Baxter",119.31,1975
"Bayles",8.38,1975
"Baynton",2.12,1975
"Bayswater",1929.26,1975
"Bayswater North",1273.08,1975
"Beaconsfield",88.37,1975
"Beaconsfield Upper",6.89,1975
"Beaumaris",1792.04,1975
"Beenak",1.68,1975
"Belgrave",51.75,1975
"Belgrave Heights",10.09,1975
"Belgrave South",11.26,1975
"Bell Park",1646.68,1975
"Bell Post Hill",742.05,1975
"Bellarine",11.02,1975
"Bellbrae",7.42,1975
"Bellfield",1537.3,1975
"Bells Beach",7.47,1975
"Belmont",1591.3,1975
"Bena",6.69,1975
"Bend of Islands",5.36,1975
"Benloch",4.57,1975
"Bentleigh",2306.31,1975
"Bentleigh East",2149.97,1975
"Beremboke",5.23,1975
"Berwick",230.25,1975
"Beveridge",2.06,1975
"Big Hill",1.34,1975
"Big Pats Creek",1.93,1975
"Bittern",82.69,1975
"Black Rock",1370.58,1975
"Blackburn",1346.12,1975
"Blackburn North",1629.18,1975
"Blackburn South",1677.01,1975
"Blackwood",0.94,1975
"Blairgowrie",1391.76,1975
"Blakeville",0.27,1975
"Blampied",3.22,1975
"Blind Bight",113.29,1975
"Bolinda",3.83,1975
"Bolwarrah",1.89,1975
"Bona Vista",6.06,1975
"Bonbeach",1447.44,1975
"Boneo",14.51,1975
"Bonnie Brook",5.4,1975
"Boonah",0.77,1975
"Boronia",1117.21,1975
"Botanic Ridge",8.9,1975
"Box Hill",1831.44,1975
"Box Hill North",1864.68,1975
"Box Hill South",1585.12,1975
"Braeside",568.97,1975
"Brandy Creek",4.36,1975
"Bravington",13.22,1975
"Braybrook",1862.65,1975
"Breakwater",711.53,1975
"Breamlea",17.49,1975
"Briar Hill",1452.05,1975
"Brighton",2036.29,1975
"Brighton East",1934.66,1975
"Broadford",31.04,1975
"Broadmeadows",1132.85,1975
"Brookfield",79.72,1975
"Brooklyn",1424.2,1975
"Brunswick",2610.97,1975
"Brunswick East",2068.88,1975
"Brunswick West",2158.06,1975
"Buckley",2.28,1975
"Buffalo",4.17,1975
"Bulla",12.57,1975
"Bullarook",2.19,1975
"Bullarto",2.52,1975
"Bullarto South",2.9,1975
"Bulleen",1269.49,1975
"Bullengarook",3.94,1975
"Buln Buln",9.81,1975
"Buln Buln East",5.78,1975
"Bunding",4.46,1975
"Bundoora",624.78,1975
"Bungal",2.53,1975
"Bungaree",4.94,1975
"Bunyip",28.29,1975
"Bunyip North",6.31,1975
"Burnley",547.28,1975
"Burnside",39.87,1975
"Burnside Heights",27.28,1975
"Burwood",1533.74,1975
"Burwood East",1547.3,1975
"Buxton",3.08,1975
"Bylands",2.23,1975
"Cadello",3.72,1975
"Cairnlea",58.31,1975
"Calder Park",11.15,1975
"Caldermeade",4.39,1975
"Cambarville",0.01,1975
"Camberwell",1911.92,1975
"Campbellfield",1276.22,1975
"Campbelltown",1.39,1975
"Cannons Creek",32.33,1975
"Canterbury",1907.27,1975
"Cape Paterson",91.32,1975
"Cape Schanck",5.81,1975
"Cape Woolamai",502.68,1975
"Capel Sound",1216.62,1975
"Cardinia",9.42,1975
"Carlsruhe",5.81,1975
"Carlton",2455.16,1975
"Carlton North",1782.13,1975
"Carnegie",2283.1,1975
"Caroline Springs",0.06,1975
"Carrum",2152.35,1975
"Carrum Downs",408.4,1975
"Castella",2.76,1975
"Catani",5.4,1975
"Cathkin",1.7,1975
"Caulfield",2564.78,1975
"Caulfield East",956.71,1975
"Caulfield North",2357.96,1975
"Caulfield South",2336.21,1975
"Ceres",10.17,1975
"Chadstone",1648.75,1975
"Charlemont",17.01,1975
"Chelsea",2268.82,1975
"Chelsea Heights",1038.97,1975
"Cheltenham",1943.7,1975
"Cherokee",5.57,1975
"Chintin",3.79,1975
"Chirnside Park",160.71,1975
"Christmas Hills",3.74,1975
"Chum Creek",2.98,1975
"Churchill Island",3.24,1975
"Clarendon",3.53,1975
"Claretown",3.5,1975
"Clarinda",1337.54,1975
"Clarkefield",2.87,1975
"Clarkes Hill",2.8,1975
"Clayton",2115.48,1975
"Clayton South",1635.08,1975
"Clematis",6.51,1975
"Clifton Hill",1830.64,1975
"Clifton Springs",952.69,1975
"Clonbinane",0.62,1975
"Cloverlea",5.1,1975
"Clyde",23.54,1975
"Clyde North",6.71,1975
"Clydesdale",4.05,1975
"Cobaw",6.32,1975
"Cobblebank",18.14,1975
"Coburg",2194.35,1975
"Coburg North",1616.81,1975
"Cockatoo",7.89,1975
"Cocoroc",0.48,1975
"Coimadai",4.68,1975
"Colbrook",2.48,1975
"Coldstream",23.14,1975
"Collingwood",2839.24,1975
"Connewarre",3.45,1975
"Coolaroo",1722.04,1975
"Coomoora",3.43,1975
"Cora Lynn",7.06,1975
"Corinella",43.97,1975
"Corio",814.45,1975
"Coronet Bay",244.73,1975
"Cottles Bridge",3.51,1975
"Cowes",320.43,1975
"Craigieburn",212.17,1975
"Cranbourne",696.53,1975
"Cranbourne East",23.62,1975
"Cranbourne North",389.08,1975
"Cranbourne South",16.38,1975
"Cranbourne West",31.43,1975
"Cremorne",2550.6,1975
"Crib Point",322.9,1975
"Crossover",5.13,1975
"Croydon",883.73,1975
"Croydon Hills",871.49,1975
"Croydon North",655.95,1975
"Croydon South",905.52,1975
"Curlewis",8.76,1975
"Dales Creek",1.87,1975
"Dallas",1804.23,1975
"Dalmore",6.79,1975
"Dalyston",6.23,1975
"Dandenong",1854.72,1975
"Dandenong North",1436.38,1975
"Dandenong South",740.96,1975
"Darley",94.8,1975
"Darnum",7.78,1975
"Darraweit Guim",3.68,1975
"Daylesford",41.32,1975
"Dean",2.57,1975
"Deanside",7.66,1975
"Deepdene",1860.99,1975
"Deer Park",1106.55,1975
"Delahey",338.97,1975
"Denver",4.2,1975
"Derrimut",8.3,1975
"Devils River",0.85,1975
"Devon Meadows",38.98,1975
"Dewhurst",5.74,1975
"Diamond Creek",169.76,1975
"Diggers Rest",18.44,1975
"Dingley Village",920.82,1975
"Dixons Creek",3.78,1975
"Docklands",1415.22,1975
"Don Valley",4.02,1975
"Doncaster",1440.92,1975
"Doncaster East",1489.99,1975
"Donnybrook",3.47,1975
"Donvale",390.86,1975
"Doreen",8.15,1975
"Doveton",1579.82,1975
"Dromana",255.95,1975
"Drouin",73.1,1975
"Drouin East",9.62,1975
"Drouin South",5.32,1975
"Drouin West",8.54,1975
"Drumcondra",2261.03,1975
"Drummond",3.37,1975
"Drummond North",5.47,1975
"Dry Diggings",5.08,1975
"Drysdale",52.71,1975
"Dunnstown",4.49,1975
"Durdidwarrah",1.35,1975
"Eaglemont",1300.08,1975
"East Geelong",1302.71,1975
"East Melbourne",1134.13,1975
"East Warburton",0.32,1975
"Eastern View",1.58,1975
"Eden Park",3.43,1975
"Edgecombe",7.84,1975
"Edithvale",2055.68,1975
"Eganstown",1.6,1975
"Eildon",2.61,1975
"Elaine",3.23,1975
"Elevated Plains",3.06,1975
"Elizabeth Island",11.52,1975
"Ellinbank",5.24,1975
"Elsternwick",2440.02,1975
"Eltham",379.61,1975
"Eltham North",580.07,1975
"Elwood",2056.14,1975
"Emerald",8.14,1975
"Endeavour Hills",840.26,1975
"Epping",316.13,1975
"Essendon",2165.37,1975
"Essendon Fields",293.6,1975
"Essendon North",1937.36,1975
"Essendon West",905.4,1975
"Eumemmerring",1372.83,1975
"Exford",3.98,1975
"Eynesbury",1.07,1975
"Fairbank",6.31,1975
"Fairfield",1279.02,1975
"Fairhaven",104.5,1975
"Fawcett",1.55,1975
"Fawkner",1811.51,1975
"Fern Hill",7.58,1975
"Ferndale",3.57,1975
"Fernshaw",0,1975
"Ferntree Gully",1211.79,1975
"Ferny Creek",4.69,1975
"Fieldstone",2.67,1975
"Fingal",20.68,1975
"Fiskville",3.78,1975
"Fitzroy",2614.81,1975
"Fitzroy North",2255.88,1975
"Flemington",1240.19,1975
"Flinders",18.45,1975
"Flowerdale",1.9,1975
"Footscray",2026.74,1975
"Forbes",2.96,1975
"Forest Hill",1404.01,1975
"Franklinford",3.55,1975
"Frankston",1558,1975
"Frankston North",895.77,1975
"Frankston South",635.82,1975
"Fraser Rise",4.66,1975
"French Island",2.08,1975
"Freshwater Creek",5.08,1975
"Fryerstown",2.64,1975
"Fyansford",17.98,1975
"Gainsborough",6.84,1975
"Gardenvale",2323.8,1975
"Garfield",23.15,1975
"Garfield North",4.12,1975
"Geelong",2339.97,1975
"Geelong West",2825.23,1975
"Gembrook",1.44,1975
"Gentle Annie",0.02,1975
"Gherang",5.73,1975
"Gheringhap",2.28,1975
"Ghin Ghin",1.56,1975
"Gilderoy",0.51,1975
"Gisborne",18.14,1975
"Gisborne South",1.89,1975
"Gladstone Park",1609.03,1975
"Gladysdale",3.52,1975
"Glen Alvie",6.82,1975
"Glen Forbes",7.2,1975
"Glen Huntly",2302.13,1975
"Glen Iris",1779.72,1975
"Glen Waverley",1473.92,1975
"Glenaroua",1.63,1975
"Glenburn",2.17,1975
"Glenluce",2.21,1975
"Glenlyon",2.6,1975
"Glenmore",2.01,1975
"Glenroy",1557.59,1975
"Gnarwarre",2.72,1975
"Goldie",5.62,1975
"Gordon",4.19,1975
"Gowanbrae",9.88,1975
"Grangefields",6.06,1975
"Grantville",14.4,1975
"Greendale",1.37,1975
"Greenhill",4.83,1975
"Greensborough",933.59,1975
"Greenvale",114.22,1975
"Grovedale",1052.8,1975
"Gruyere",4.38,1975
"Guildford",3.37,1975
"Guys Hill",4.44,1975
"Hadfield",1684.98,1975
"Hallam",1075.37,1975
"Hallora",4.89,1975
"Hallston",4.17,1975
"Hamlyn Heights",1341.65,1975
"Hampton",2050.55,1975
"Hampton East",1976.82,1975
"Hampton Park",660.13,1975
"Harkaway",9.73,1975
"Harkness",12.22,1975
"Harmers Haven",7.12,1975
"Hastings",297.37,1975
"Hawthorn",1973.14,1975
"Hawthorn East",2180.35,1975
"Healesville",13.28,1975
"Heath Hill",7.58,1975
"Heathcote Junction",13.27,1975
"Heatherton",266.03,1975
"Heathmont",936.31,1975
"Heidelberg",1586.36,1975
"Heidelberg Heights",2105.4,1975
"Heidelberg West",1970.18,1975
"Hepburn",53.31,1975
"Hepburn Springs",40.02,1975
"Herne Hill",2096.79,1975
"Hesket",6.29,1975
"High Camp",2.26,1975
"Highett",2120.98,1975
"Highlands",2.52,1975
"Highton",781.98,1975
"Hillside",2.48,1975
"Hmas Cerberus",48.94,1975
"Hoddles Creek",3.6,1975
"Homewood",2.28,1975
"Hopetoun Park",11.15,1975
"Hoppers Crossing",1069.96,1975
"Howes Creek",2.15,1975
"Hughesdale",2319.23,1975
"Humevale",2.26,1975
"Huntingdale",2601.52,1975
"Hurstbridge",47.26,1975
"Indented Head",336.73,1975
"Ingliston",2.69,1975
"Inverleigh",3.06,1975
"Inverloch",49.7,1975
"Iona",7.24,1975
"Irishtown",3.04,1975
"Ivanhoe",1542.12,1975
"Ivanhoe East",1213.55,1975
"Jacana",1049.07,1975
"Jam Jerrup",5.16,1975
"Jan Juc",407.02,1975
"Jeetho",6.96,1975
"Jindivick",5.25,1975
"Jumbunna",4.62,1975
"Junction Village",414.4,1975
"Kalkallo",3.13,1975
"Kallista",2.37,1975
"Kalorama",1.89,1975
"Kangaroo Ground",5.06,1975
"Kardella",6.43,1975
"Kardella South",8.65,1975
"Kealba",857.19,1975
"Keilor",393.26,1975
"Keilor Downs",1628.93,1975
"Keilor East",1029.77,1975
"Keilor Lodge",1079.44,1975
"Keilor North",4.07,1975
"Keilor Park",660.1,1975
"Kensington",2097.15,1975
"Kernot",4.42,1975
"Kerrie",3.74,1975
"Kerrisdale",2.75,1975
"Kew",1521.88,1975
"Kew East",1031.45,1975
"Keysborough",641.62,1975
"Kilcunda",17.43,1975
"Killingworth",3,1975
"Kilmore",33.06,1975
"Kilmore East",3.37,1975
"Kilsyth",725.75,1975
"Kilsyth South",274.32,1975
"Kinglake",1.32,1975
"Kinglake Central",3.2,1975
"Kinglake West",2.44,1975
"Kings Park",2196.83,1975
"Kingsbury",1682.83,1975
"Kingsville",2631.63,1975
"Knoxfield",1128.06,1975
"Kongwak",4.38,1975
"Koo Wee Rup",26.85,1975
"Koo Wee Rup North",7.65,1975
"Koonwarra",7.74,1975
"Kooroocheang",1.91,1975
"Koorooman",6.04,1975
"Kooyong",1032.17,1975
"Koriella",1.73,1975
"Korobeit",4.48,1975
"Korumburra",49.22,1975
"Korumburra South",4.64,1975
"Korweinguboora",1.48,1975
"Krowera",4.6,1975
"Kurunjang",255.01,1975
"Kyneton",43.48,1975
"Kyneton South",6.05,1975
"Labertouche",4.31,1975
"Lake Eildon",0.1,1975
"Lal Lal",2.47,1975
"Lalor",1488.96,1975
"Lance Creek",5.74,1975
"Lancefield",8.45,1975
"Lang Lang",11.35,1975
"Lang Lang East",6.44,1975
"Langdons Hill",4.42,1975
"Langley",2.74,1975
"Langwarrin",303.3,1975
"Langwarrin South",22.85,1975
"Lara",66.04,1975
"Lardner",5.28,1975
"Launching Place",11.3,1975
"Lauriston",4.61,1975
"Laverton",1113.36,1975
"Laverton North",712.72,1975
"Leonards Hill",1.32,1975
"Leongatha",111.15,1975
"Leongatha North",6.49,1975
"Leongatha South",5.19,1975
"Leopold",150.82,1975
"Lerderderg",0.03,1975
"Lethbridge",4.93,1975
"Lillico",7.55,1975
"Lilydale",225.63,1975
"Limestone",0.89,1975
"Little Hampton",5.69,1975
"Little River",4.51,1975
"Loch",7.91,1975
"Loch Valley",0.01,1975
"Long Forest",4.8,1975
"Longwarry",15.19,1975
"Longwarry North",7.4,1975
"Lorne",11.46,1975
"Lovely Banks",14.18,1975
"Lower Plenty",228.28,1975
"Lynbrook",9.69,1975
"Lyndhurst",1.95,1975
"Lyonville",1.21,1975
"Lysterfield",35.79,1975
"Lysterfield South",1.99,1975
"Macclesfield",4.02,1975
"Macedon",5.42,1975
"Macleod",1148.72,1975
"Maddingley",56.25,1975
"Maidstone",2000.39,1975
"Main Ridge",11.5,1975
"Maintongoon",1.92,1975
"Malmsbury",5.36,1975
"Malvern",2252.23,1975
"Malvern East",1797.5,1975
"Mambourin",0.34,1975
"Manifold Heights",2734.09,1975
"Mannerim",4.44,1975
"Manor Lakes",1.03,1975
"Marcus Hill",7.65,1975
"Maribyrnong",1127.45,1975
"Marshall",99.5,1975
"Maryknoll",6.11,1975
"Marysville",0.73,1975
"Maude",4.45,1975
"McCrae",713.67,1975
"McKinnon",2228.05,1975
"McMahons Creek",0.15,1975
"Meadow Heights",905.3,1975
"Meeniyan",11.88,1975
"Melbourne",1275.61,1975
"Melbourne Airport",110.34,1975
"Melton",359.28,1975
"Melton South",1069.72,1975
"Melton West",444.24,1975
"Mentone",2135.88,1975
"Menzies Creek",2.7,1975
"Meredith",4.04,1975
"Mernda",14.88,1975
"Merricks",7.58,1975
"Merricks Beach",13.18,1975
"Merricks North",5.66,1975
"Merrimu",6.76,1975
"Metcalfe East",6.14,1975
"Mickleham",5.11,1975
"Middle Park",2055.57,1975
"Middle Tarwin",3.15,1975
"Mill Park",1075.28,1975
"Millbrook",5.25,1975
"Millgrove",26.56,1975
"Mitcham",1422.8,1975
"Modella",4.88,1975
"Modewarre",3,1975
"Moggs Creek",29.57,1975
"Molesworth",1.41,1975
"Mollongghip",3.5,1975
"Monbulk",50.92,1975
"Monegeetta",6.84,1975
"Monomeith",3.77,1975
"Mont Albert",1822.29,1975
"Mont Albert North",1464.68,1975
"Montmorency",1194.06,1975
"Montrose",107.67,1975
"Moolap",129.12,1975
"Moonee Ponds",2068.21,1975
"Moorabbin",2555.03,1975
"Moorabbin Airport",158.44,1975
"Moorabool",8.33,1975
"Moorooduc",7.43,1975
"Mooroolbark",792.47,1975
"Moranding",3.21,1975
"Mordialloc",1698.65,1975
"Moriac",15.84,1975
"Mornington",752.37,1975
"Morrisons",2.48,1975
"Mount Burnett",2.42,1975
"Mount Cottrell",4.54,1975
"Mount Dandenong",0.68,1975
"Mount Doran",6.35,1975
"Mount Duneed",7.11,1975
"Mount Eccles",5.01,1975
"Mount Eccles South",3.94,1975
"Mount Egerton",4.45,1975
"Mount Eliza",445.69,1975
"Mount Evelyn",65.44,1975
"Mount Franklin",4.91,1975
"Mount Macedon",1.74,1975
"Mount Martha",308.36,1975
"Mount Moriac",3.16,1975
"Mount Prospect",3.88,1975
"Mount Toolebewong",1.03,1975
"Mount Wallace",3.39,1975
"Mount Waverley",1638.29,1975
"Mountain View",6.29,1975
"Moyarra",7.22,1975
"Mulgrave",1534.33,1975
"Murgheboluc",4.19,1975
"Murrindindi",0.73,1975
"Murrumbeena",2092.65,1975
"Musk",6.05,1975
"Musk Vale",0.52,1975
"Myrniong",3.55,1975
"Nangana",3.85,1975
"Nar Nar Goon",9.17,1975
"Nar Nar Goon North",4.02,1975
"Narbethong",0.71,1975
"Narre Warren",731.98,1975
"Narre Warren East",6.44,1975
"Narre Warren North",28.45,1975
"Narre Warren South",44.51,1975
"Nayook",3.73,1975
"Neerim",5.46,1975
"Neerim East",1.34,1975
"Neerim Junction",4.54,1975
"Neerim North",2.41,1975
"Neerim South",7.04,1975
"Nerrena",6.52,1975
"New Gisborne",11.53,1975
"Newbury",7.38,1975
"Newcomb",1423.07,1975
"Newham",4.85,1975
"Newhaven",116.73,1975
"Newlyn",2.26,1975
"Newlyn North",6.26,1975
"Newport",1830.59,1975
"Newtown",1780.93,1975
"Niddrie",1838.96,1975
"Nilma",13.09,1975
"Nilma North",7.98,1975
"Noble Park",2141.77,1975
"Noble Park North",1861.32,1975
"Noojee",1.01,1975
"Norlane",2066.85,1975
"North Blackwood",4.38,1975
"North Geelong",1494.78,1975
"North Melbourne",2265.5,1975
"North Shore",807.08,1975
"North Warrandyte",13.05,1975
"North Wonthaggi",161.67,1975
"Northcote",2281.76,1975
"Notting Hill",1986.48,1975
"Nulla Vale",2.53,1975
"Nunawading",1727.03,1975
"Nutfield",4.03,1975
"Nyora",8.25,1975
"Oak Park",1955.35,1975
"Oaklands Junction",5.69,1975
"Oakleigh",2117.15,1975
"Oakleigh East",1996.07,1975
"Oakleigh South",1297.8,1975
"Ocean Grove",608.31,1975
"Officer",15.96,1975
"Officer South",2.66,1975
"Olinda",3.56,1975
"Ormond",2232.82,1975
"Outtrim",5.29,1975
"Pakenham",83.52,1975
"Pakenham South",6.28,1975
"Pakenham Upper",2.38,1975
"Panton Hill",4.84,1975
"Paraparap",3.51,1975
"Park Orchards",61.42,1975
"Parkdale",2219.02,1975
"Parkville",857.46,1975
"Parwan",3.48,1975
"Pascoe Vale",2108.9,1975
"Pascoe Vale South",2040.5,1975
"Pastoria",2.26,1975
"Pastoria East",3.13,1975
"Patterson Lakes",926.03,1975
"Pearcedale",77.22,1975
"Pentland Hills",5.19,1975
"Pheasant Creek",2.64,1975
"Piedmont",5.09,1975
"Pioneer Bay",434.93,1975
"Pipers Creek",5.06,1975
"Plenty",21.87,1975
"Plumpton",3.35,1975
"Point Cook",36.71,1975
"Point Leo",15.65,1975
"Point Lonsdale",328.69,1975
"Point Wilson",0.65,1975
"Poowong",8.6,1975
"Poowong East",5.18,1975
"Poowong North",4.7,1975
"Porcupine Ridge",3.56,1975
"Port Melbourne",1649.87,1975
"Portarlington",212.82,1975
"Portsea",244.91,1975
"Pound Creek",6.1,1975
"Powelltown",1.77,1975
"Prahran",2603.15,1975
"Preston",2319.01,1975
"Princes Hill",2139.79,1975
"Pyalong",2.27,1975
"Quandong",0.4,1975
"Queenscliff",661.56,1975
"Queensferry",14.17,1975
"Ranceby",4.84,1975
"Ravenhall",4.29,1975
"Red Hill",9.79,1975
"Red Hill South",5.43,1975
"Reedy Creek",2.94,1975
"Reefton",0.11,1975
"Research",86.31,1975
"Reservoir",1969.44,1975
"Rhyll",45.06,1975
"Richmond",2448.23,1975
"Riddells Creek",11.37,1975
"Ringwood",1298.53,1975
"Ringwood East",1225.81,1975
"Ringwood North",649.97,1975
"Ripplebrook",6.77,1975
"Rippleside",1878.92,1975
"Ripponlea",2006.2,1975
"Rochford",5.55,1975
"Rockbank",66.93,1975
"Rocklyn",5.05,1975
"Rokeby",7.06,1975
"Romsey",10.04,1975
"Rosanna",1646.96,1975
"Rosebud",801.47,1975
"Rowsley",4.07,1975
"Rowville",569.83,1975
"Roxburgh Park",4.12,1975
"Rubicon",0.22,1975
"Ruby",8.39,1975
"Russells Bridge",7.85,1975
"Ryanston",5.66,1975
"Rye",1122.48,1975
"Rythdale",3.38,1975
"Safety Beach",464.28,1975
"Sailors Falls",3.72,1975
"Sailors Hill",3,1975
"San Remo",78.53,1975
"Sandhurst",0.15,1975
"Sandon",4.55,1975
"Sandringham",1870.26,1975
"Sassafras",2.19,1975
"Scoresby",603.78,1975
"Seabrook",654.7,1975
"Seaford",1385.34,1975
"Seaholme",1489,1975
"Seaview",4.2,1975
"Seddon",2782.44,1975
"Selby",1.86,1975
"Seville",26.5,1975
"Seville East",16.2,1975
"She Oaks",7.71,1975
"Shelford",1.37,1975
"Shepherds Flat",2.63,1975
"Sherbrooke",2.54,1975
"Shoreham",20.08,1975
"Sidonia",2.47,1975
"Silvan",13.63,1975
"Silverleaves",58.24,1975
"Skye",47.22,1975
"Smeaton",2.14,1975
"Smiths Beach",684.97,1975
"Smiths Gully",3.2,1975
"Somers",74.53,1975
"Somerton",309.69,1975
"Somerville",130.24,1975
"Sorrento",986.35,1975
"South Dudley",181.18,1975
"South Geelong",1707.58,1975
"South Kingsville",2060.52,1975
"South Melbourne",2571.17,1975
"South Morang",32.87,1975
"South Wharf",1941.29,1975
"South Yarra",2014.91,1975
"Southbank",2040.52,1975
"Spargo Creek",2.4,1975
"Spotswood",1476.83,1975
"Spring Hill",3.78,1975
"Springbank",3.34,1975
"Springfield",3.67,1975
"Springvale",1705.62,1975
"Springvale South",1561.33,1975
"St Albans",2094.09,1975
"St Albans Park",468.28,1975
"St Andrews",4.14,1975
"St Andrews Beach",454.88,1975
"St Clair",2.9,1975
"St Helena",736.91,1975
"St Kilda",1921.66,1975
"St Kilda East",2287.6,1975
"St Kilda West",1831.8,1975
"St Leonards",124.67,1975
"Staughton Vale",2.99,1975
"Steels Creek",3.84,1975
"Steiglitz",1.65,1975
"Stonehaven",2.96,1975
"Strangways",6.09,1975
"Strath Creek",2.29,1975
"Strathewen",3.63,1975
"Strathlea",3.87,1975
"Strathmore",1607.68,1975
"Strathmore Heights",683.95,1975
"Strathtulloh",2.04,1975
"Strzelecki",3.49,1975
"Sugarloaf Creek",4.78,1975
"Summerlands",1.48,1975
"Sunbury",99.89,1975
"Sunday Creek",3.34,1975
"Sunderland Bay",416.89,1975
"Sunset Strip",575.73,1975
"Sunshine",1933.29,1975
"Sunshine North",1506.38,1975
"Sunshine West",1198.52,1975
"Surf Beach",385.65,1975
"Surrey Hills",1955.51,1975
"Sutherlands Creek",4.79,1975
"Swan Bay",1.72,1975
"Swan Island",8.11,1975
"Sydenham",337.23,1975
"Taggerty",2.13,1975
"Tallarook",3.58,1975
"Tantaraboo",5.04,1975
"Taradale",2.46,1975
"Tarilta",6.63,1975
"Tarneit",4.91,1975
"Tarrawarra",3.12,1975
"Tarwin",3.21,1975
"Tarwin Lower",3.76,1975
"Taylor Bay",4.29,1975
"Taylors Hill",2.5,1975
"Taylors Lakes",829.11,1975
"Tecoma",95.97,1975
"Teesdale",3.79,1975
"Templestowe",551.89,1975
"Templestowe Lower",1541.2,1975
"Tenby Point",2.73,1975
"Tetoora Road",8.15,1975
"The Basin",174.44,1975
"The Gurdies",5.41,1975
"The Patch",1.63,1975
"Thomastown",1331.9,1975
"Thomson",1843.05,1975
"Thornbury",2237.39,1975
"Thornhill Park",2.71,1975
"Thornton",4.16,1975
"Three Bridges",0.88,1975
"Tonimbuk",4.55,1975
"Toolangi",0.69,1975
"Toolern Vale",6.86,1975
"Tooradin",25.82,1975
"Toorak",2183.54,1975
"Tootgarook",1727.51,1975
"Torquay",149.46,1975
"Torwood",6.02,1975
"Tottenham",2434.54,1975
"Travancore",1335.56,1975
"Trawool",2.12,1975
"Tremont",2.33,1975
"Trentham",6.7,1975
"Trentham East",4.17,1975
"Trida",2.68,1975
"Truganina",7.84,1975
"Tuerong",4.29,1975
"Tullamarine",1503.89,1975
"Tyaak",4.19,1975
"Tyabb",53.72,1975
"Tylden",4.93,1975
"Tylden South",10.04,1975
"Tynong",10.44,1975
"Tynong North",3.02,1975
"Upper Ferntree Gully",240.07,1975
"Upper Plenty",5.28,1975
"Upwey",86.99,1975
"Vaughan",4.08,1975
"Ventnor",38.47,1975
"Venus Bay",126.69,1975
"Vermont",1292.14,1975
"Vermont South",1066.38,1975
"Vervale",6.97,1975
"Viewbank",749.57,1975
"Wallace",5.85,1975
"Wallan",18.71,1975
"Wallington",6.16,1975
"Wandana Heights",221.83,1975
"Wandin East",7.13,1975
"Wandin North",48.13,1975
"Wandong",17.35,1975
"Wantirna",983.09,1975
"Wantirna South",826.52,1975
"Warburton",1.08,1975
"Warneet",122.65,1975
"Warragul",156.52,1975
"Warragul South",6.47,1975
"Warragul West",2.68,1975
"Warrandyte",78.55,1975
"Warrandyte South",15.2,1975
"Warranwood",373.72,1975
"Waterford Park",478.12,1975
"Waterways",0.82,1975
"Watsonia",1631.18,1975
"Watsonia North",1057.49,1975
"Watsons Creek",1.97,1975
"Wattle Bank",3.41,1975
"Wattle Glen",19.65,1975
"Waurn Ponds",24.63,1975
"Weir Views",1.33,1975
"Wensleydale",0.96,1975
"Werona",2.92,1975
"Werribee",476.6,1975
"Werribee South",30.14,1975
"Wesburn",3.57,1975
"West Creek",4.6,1975
"West Footscray",2289,1975
"West Melbourne",1713.99,1975
"Westmeadows",710.11,1975
"Whanregarwen",1.91,1975
"Wheatsheaf",1.42,1975
"Wheelers Hill",1247.67,1975
"Whitelaw",7.38,1975
"Whittington",1920.82,1975
"Whittlesea",15,1975
"Wild Dog Valley",6.28,1975
"Wildwood",2.59,1975
"Williams Landing",12.99,1975
"Williamstown",1611.98,1975
"Williamstown North",1567.9,1975
"Willowmavin",2.9,1975
"Wimbledon Heights",935.33,1975
"Winchelsea",6.34,1975
